Liberia;55
Cañas Dulces;55
Mayorga;55
Nacascolo;55
Curubandé;55
Nicoya;56
Mansión;56
San Antonio;56
Quebrada Honda;56
Sámara;56
Nosara;56
Belén de Nosarita;56
Santa Cruz;57
Bolsón;57
Veintisiete de Abril;57
Tempate;57
Cartagena;57
Cuajiniquil;57
Diriá;57
Cabo Velas;57
Tamarindo;57
Bagaces;58
La Fortuna;58
Mogote;58
Río Naranjo;58
Filadelfia;59
Palmira;59
Sardinal;59
Belén;59
Cañas;60
Palmira;60
San Miguel;60
Bebedero;60
Porozal;60
Las Juntas;61
Sierra;61
San Juan;61
Colorado;61
Tilarán;62
Quebrada Grande;62
Tronadora;62
Santa Rosa;62
Líbano;62
Tierras Morenas;62
Arenal;62
Carmona;63
Santa Rita;63
Zapotal;63
San Pablo;63
Porvenir;63
Bejuco;63
La Cruz;64
Santa Cecilia;64
La Garita;64
Santa Elena;64
Hojancha;65
Monte Romo;65
Puerto Carrillo;65
Huacas;65
Matambú;65
Puntarenas;66
Pitahaya;66
Chomes;66
Lepanto;66
Paquera;66
Manzanillo;66
Guacimal;66
Barranca;66
Monteverde;66
Isla del Coco;66
Cóbano;66
Chacarita;66
Chira;66
Acapulco;66
El Roble;66
Arancibia;66
Espíritu Santo;67
San Juan Grande;67
Macacona;67
San Rafael;67
San Jerónimo;67
Caldera;67
Buenos Aires;68
Volcán;68
Potrero Grande;68
Boruca;68
Pilas;68
Colinas;68
Chánguena;68
Biolley;68
Brunka;68
Miramar;69
La Unión;69
San Isidro;69
Cortés;70
Palmar;70
Sierpe;70
Bahía Ballena;70
Piedras Blancas;70
Bahía Drake;70
Quepos;71
Savegre;71
Naranjito;71
Golfito;72
Puerto Jiménez;72
Guaycará;72
Pavón;72
San Vito;73
Sabalito;73
Aguabuena;73
Limoncito;73
Pittier;73
Gutiérrez Brown;73
Parrita;74
Corredor;75
La Cuesta;75
Paso Canoas;75
Laurel;75
Jacó;76
Tárcoles;76
Limón;77
Valle La Estrella;77
Río Blanco;77
Matama;77
Guápiles;78
Jiménez;78
La Rita;78
Roxana;78
Cariari;78
Colorado;78
La Colonia;78
Siquirres;79
Pacuarito;79
Florida;79
Germania;79
Cairo;79
Alegría;79
Bratsi;80
Sixaola;80
Cahuita;80
Telire;80
Matina;81
Batán;81
Carrandi;81
Guácimo;82
Mercedes;82
Pocora;82
Río Jiménez;82
Duacarí;82
